_id,total
to,10914
I,9825
the,9041
and,7319
my,6021
is,5107
it,5100
a,4923
app,3942
not,3341
in,3257
for,3192
this,2999
of,2927
on,2596
you,2445
but,2440
have,2361
can't,2262
with,2144
